问题编号,质量维度,表,字段,问题类型,检测条件,影响数量,影响比例,典型样例,严重程度,建议处理
Q001,有效性,t_user,phone,手机号不符合规则,NOT RLIKE '^1[3-9]\d{9}$',1,20.00%,12345678901,中,标记待核；[说明书] 要求 11 位手机号，疑为测试残留
Q002,一致性,t_order / t_user,user_id,冻结用户存在订单,t_user.status=1 且该用户有订单,4136,49.88%,user_id=3,低,保留。冻结是后置管理动作，历史订单本就该在；仅作口径说明
Q003,时效性,t_order,settle_time,数据滞后,最新结算 2026-09-04 23:59:59，距今 10 天,8292,100.00%,2026-09-04 23:59:59,中,离线合成数据集，滞后属预期；答辩时说明口径
Q004,完整性,t_pile_log,old_status,字段缺失率 100.0%（>50%）,缺失率 > 50%，SOP 6.3 要求评估字段信息量,1800,100.00%,,高,该字段近乎全空，承载不了分析；剔除或改用其他字段
Q005,完整性,t_pile_log,new_status,字段缺失率 98.67%（>50%）,缺失率 > 50%，SOP 6.3 要求评估字段信息量,1776,98.67%,,高,该字段近乎全空，承载不了分析；剔除或改用其他字段
Q006,完整性,t_pile_log,event,事件类型无任何记录,event 取值中缺少：故障上报,0,0.00%,"已有 {'离线': 2, '状态变更': 1763, '远程重启': 8, '上线': 27}",高,依赖这些事件的分析维度不成立，须在报告与维度设计中删除
Q007,完整性,t_load_forecast,(整表),事实表数据量偏少，限制可做的分析,COUNT(*)=18 < 100,18,100.00%,,低,可做快照类展示，不足以支撑趋势/分布类维度
Q008,完整性,t_carbon_report,(整表),事实表数据量偏少，限制可做的分析,COUNT(*)=5 < 100,5,100.00%,,低,可做快照类展示，不足以支撑趋势/分布类维度
Q009,完整性,t_wallet_tx,(整表),事实表数据量严重不足,COUNT(*)=1 < 5,1,100.00%,,中,不纳入分析维度，在报告中说明
Q010,完整性,t_station_review,(整表),空表,COUNT(*)=0,0,—,,高,不纳入分析维度，在质量报告中说明
Q011,完整性,t_admin_oplog,(整表),事实表数据量严重不足,COUNT(*)=3 < 5,3,100.00%,,中,不纳入分析维度，在报告中说明
